Mês,Valor (R$/@)
Janeiro,"R$ 265,00"
Fevereiro,"R$ 286,00"
Março,"R$ 290,00"
Abril,"R$ 301,00"
Maio,"R$ 292,00"
Junho,"R$ 301,00"
Julho,"R$ 301,00"
Agosto,"R$ 300,00"
Setembro,"R$ 280,00"
Outubro,"R$ 260,00"
Novembro,"R$ 274,00"
Dezembro,"R$ 286,00"
